id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
IQG14Q01,العمارة,Al-Amara,al-amara-iqg14q01,IQG14Q01,2,32.107,47.272
IQG14Q03,الكحلاء,Al-Kahla,al-kahla-iqg14q03,IQG14Q03,3,31.764,47.43
IQG14Q04,الميمونة,Al-Maimouna,al-maimouna-iqg14q04,IQG14Q04,2,31.472,46.812
IQG14Q05,المجر الكبير,Al-Mejar Al-Kabir,al-mejar-al-kabir-iqg14q05,IQG14Q05,2,31.432,47.579
IQG14Q02,علي الغربي,Ali Al-Gharbi,ali-al-gharbi-iqg14q02,IQG14Q02,2,32.419,46.765
IQG14Q06,قلعة صالح,Qalat Saleh,qalat-saleh-iqg14q06,IQG14Q06,1,31.479,47.383
