# Data from Open Admin Data (https://openadmindata.org/iq/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/iraq-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.governorate,children_count.district,children_count.subdistrict,zip_codes,geo.lat,geo.lon,source_url
IQG03,1,محافظة,Governorate,المثنى,Al-Muthanna,al-muthanna-iqg03,IQG03,,,,,,4,8,,30.405,45.36,https://openadmindata.org/iq/governorates/al-muthanna-iqg03/
IQG03Q01,2,قضاء,District,الخضر,Al-Khidhir,al-khidhir-iqg03q01,IQG03Q01,,IQG03,المثنى,Al-Muthanna,,,1,,31.261,45.652,
IQG03Q02,2,قضاء,District,الرميثة,Al-Rumaitha,al-rumaitha-iqg03q02,IQG03Q02,,IQG03,المثنى,Al-Muthanna,,,5,,31.502,45.371,
IQG03Q03,2,قضاء,District,السلمان,Al-Salman,al-salman-iqg03q03,IQG03Q03,,IQG03,المثنى,Al-Muthanna,,,1,,30.251,45.348,
IQG03Q04,2,قضاء,District,السماوة,Al-Samawa,al-samawa-iqg03q04,IQG03Q04,,IQG03,المثنى,Al-Muthanna,,,1,,31.217,45.301,
IQG04,1,محافظة,Governorate,النجف,Al-Najaf,al-najaf-iqg04,IQG04,,,,,,3,6,,31.101,43.364,https://openadmindata.org/iq/governorates/al-najaf-iqg04/
IQG04Q01,2,قضاء,District,الكوفة,Al-Kufa,al-kufa-iqg04q01,IQG04Q01,,IQG04,النجف,Al-Najaf,,,2,,32.07,44.449,
IQG04Q02,2,قضاء,District,المناذرة,Al-Manathera,al-manathera-iqg04q02,IQG04Q02,,IQG04,النجف,Al-Najaf,,,1,,31.774,44.472,
IQG04Q03,2,قضاء,District,النجف,Al-Najaf,al-najaf-iqg04q03,IQG04Q03,,IQG04,النجف,Al-Najaf,,,3,,31.101,43.364,
IQG05,1,محافظة,Governorate,القادسية,Al-Qadissiya,al-qadissiya-iqg05,IQG05,,,,,,4,13,,31.843,45.167,https://openadmindata.org/iq/governorates/al-qadissiya-iqg05/
IQG05Q01,2,قضاء,District,عفك,Afaq,afaq-iqg05q01,IQG05Q01,,IQG05,القادسية,Al-Qadissiya,,,4,,32.02,45.379,
IQG05Q02,2,قضاء,District,الديوانية,Al-Diwaniya,al-diwaniya-iqg05q02,IQG05Q02,,IQG05,القادسية,Al-Qadissiya,,,4,,32.02,44.89,
IQG05Q03,2,قضاء,District,الحمزة,Al-Hamza,al-hamza-iqg05q03,IQG05Q03,,IQG05,القادسية,Al-Qadissiya,,,3,,31.591,44.775,
IQG05Q04,2,قضاء,District,الشامية,Al-Shamiya,al-shamiya-iqg05q04,IQG05Q04,,IQG05,القادسية,Al-Qadissiya,,,2,,31.868,44.629,
IQG06,1,محافظة,Governorate,السليمانية,Al-Sulaymaniyah,al-sulaymaniyah-iqg06,IQG06,,,,,,10,29,,35.532,45.377,https://openadmindata.org/iq/governorates/al-sulaymaniyah-iqg06/
IQG06Q01,2,قضاء,District,السليمانية,Al-Sulaymaniyah,al-sulaymaniyah-iqg06q01,IQG06Q01,,IQG06,السليمانية,Al-Sulaymaniyah,,,3,,35.442,45.421,
IQG06Q02,2,قضاء,District,جمجمال,Chamchamal,chamchamal-iqg06q02,IQG06Q02,,IQG06,السليمانية,Al-Sulaymaniyah,,,4,,35.415,45.001,
IQG06Q03,2,قضاء,District,دربندخان,Derbendikhan,derbendikhan-iqg06q03,IQG06Q03,,IQG06,السليمانية,Al-Sulaymaniyah,,,1,,35.186,45.713,
IQG06Q04,2,قضاء,District,دوكان,Dokan,dokan-iqg06q04,IQG06Q04,,IQG06,السليمانية,Al-Sulaymaniyah,,,2,,35.92,45.036,
IQG06Q05,2,قضاء,District,حلبجة,Halabcha,halabcha-iqg06q05,IQG06Q05,,IQG06,السليمانية,Al-Sulaymaniyah,,,4,,35.187,46.022,
IQG06Q06,2,قضاء,District,كلار,Kalar,kalar-iqg06q06,IQG06Q06,,IQG06,السليمانية,Al-Sulaymaniyah,,,3,,34.84,45.327,
IQG06Q07,2,قضاء,District,بنجوين,Panjwin,panjwin-iqg06q07,IQG06Q07,,IQG06,السليمانية,Al-Sulaymaniyah,,,2,,35.648,45.931,
IQG06Q08,2,قضاء,District,بشدر,Pshdar,pshdar-iqg06q08,IQG06Q08,,IQG06,السليمانية,Al-Sulaymaniyah,,,3,,36.265,45.102,
IQG06Q09,2,قضاء,District,رانية,Rania,rania-iqg06q09,IQG06Q09,,IQG06,السليمانية,Al-Sulaymaniyah,,,3,,36.167,44.917,
IQG06Q10,2,قضاء,District,شهربازار,Sharbazher,sharbazher-iqg06q10,IQG06Q10,,IQG06,السليمانية,Al-Sulaymaniyah,,,4,,35.703,45.628,
IQG07,1,محافظة,Governorate,بابل,Babil,babil-iqg07,IQG07,,,,,,4,11,,32.58,44.636,https://openadmindata.org/iq/governorates/babil-iqg07/
IQG07Q01,2,قضاء,District,الهاشمية,Al-Hashimiya,al-hashimiya-iqg07q01,IQG07Q01,,IQG07,بابل,Babil,,,3,,32.381,44.824,
IQG07Q02,2,قضاء,District,الحلة,Al-Hilla,al-hilla-iqg07q02,IQG07Q02,,IQG07,بابل,Babil,,,3,,32.355,44.43,
IQG07Q03,2,قضاء,District,المحاويل,Al-Mahaweel,al-mahaweel-iqg07q03,IQG07Q03,,IQG07,بابل,Babil,,,3,,32.674,44.652,
IQG07Q04,2,قضاء,District,المسيب,Al-Mussyab,al-mussyab-iqg07q04,IQG07Q04,,IQG07,بابل,Babil,,,2,,32.8,44.266,
IQG08,1,محافظة,Governorate,بغداد,Baghdad,baghdad-iqg08,IQG08,,,,,,7,21,,33.278,44.379,https://openadmindata.org/iq/governorates/baghdad-iqg08/
IQG08Q01,2,قضاء,District,الاعظمية,Al-Adhamiya,al-adhamiya-iqg08q01,IQG08Q01,,IQG08,بغداد,Baghdad,,,3,,33.479,44.354,
IQG08Q02,2,قضاء,District,الكاظمية,Al-Kadhmiyah,al-kadhmiyah-iqg08q02,IQG08Q02,,IQG08,بغداد,Baghdad,,,5,,33.464,44.192,
IQG08Q03,2,قضاء,District,الكرخ,Al-Karkh,al-karkh-iqg08q03,IQG08Q03,,IQG08,بغداد,Baghdad,,,3,,33.179,44.471,
IQG08Q04,2,قضاء,District,المدائن,Al-Mada'in,al-madain-iqg08q04,IQG08Q04,,IQG08,بغداد,Baghdad,,,3,,33.219,44.686,
IQG08Q05,2,قضاء,District,المحمودية,Al-Mahmoudiya,al-mahmoudiya-iqg08q05,IQG08Q05,,IQG08,بغداد,Baghdad,,,4,,33.035,44.343,
IQG08Q06,2,قضاء,District,الرصافة,Al-Risafa,al-risafa-iqg08q06,IQG08Q06,,IQG08,بغداد,Baghdad,,,2,,33.325,44.465,
IQG08Q07,2,قضاء,District,الثورة,Al-Thawra,al-thawra-iqg08q07,IQG08Q07,,IQG08,بغداد,Baghdad,,,1,,33.388,44.465,
IQG09,1,محافظة,Governorate,دهوك,Duhok,duhok-iqg09,IQG09,,,,,,4,14,,37.046,43.138,https://openadmindata.org/iq/governorates/duhok-iqg09/
IQG09Q01,2,قضاء,District,العمادية,Al-Amadiya,al-amadiya-iqg09q01,IQG09Q01,,IQG09,دهوك,Duhok,,,4,,37.091,43.579,
IQG09Q02,2,قضاء,District,دهوك,Duhok,duhok-iqg09q02,IQG09Q02,,IQG09,دهوك,Duhok,,,3,,36.943,43.105,
IQG09Q03,2,قضاء,District,سميل,Sumail,sumail-iqg09q03,IQG09Q03,,IQG09,دهوك,Duhok,,,4,,36.913,42.727,
IQG09Q04,2,قضاء,District,زاخو,Zakho,zakho-iqg09q04,IQG09Q04,,IQG09,دهوك,Duhok,,,3,,37.202,42.904,
IQG10,1,محافظة,Governorate,ديالى,Diyala,diyala-iqg10,IQG10,,,,,,6,21,,34.071,44.896,https://openadmindata.org/iq/governorates/diyala-iqg10/
IQG10Q01,2,قضاء,District,الخالص,Al-Khalis,al-khalis-iqg10q01,IQG10Q01,,IQG10,ديالى,Diyala,,,5,,34.085,44.657,
IQG10Q02,2,قضاء,District,المقدادية,Al-Muqdadiya,al-muqdadiya-iqg10q02,IQG10Q02,,IQG10,ديالى,Diyala,,,2,,33.881,44.926,
IQG10Q03,2,قضاء,District,مندلي,Baladruz,baladruz-iqg10q03,IQG10Q03,,IQG10,ديالى,Diyala,,,3,,33.56,45.44,
IQG10Q04,2,قضاء,District,بعقوبة,Baquba,baquba-iqg10q04,IQG10Q04,,IQG10,ديالى,Diyala,,,3,,33.647,44.713,
IQG10Q05,2,قضاء,District,خانقين,Khanaqin,khanaqin-iqg10q05,IQG10Q05,,IQG10,ديالى,Diyala,,,5,,34.52,45.383,
IQG10Q06,2,قضاء,District,كفري,Kifri,kifri-iqg10q06,IQG10Q06,,IQG10,ديالى,Diyala,,,3,,34.561,44.958,
IQG11,1,محافظة,Governorate,اربيل,Erbil,erbil-iqg11,IQG11,,,,,,6,21,,36.379,44.21,https://openadmindata.org/iq/governorates/erbil-iqg11/
IQG11Q01,2,قضاء,District,الزيبار,Al-Zibar,al-zibar-iqg11q01,IQG11Q01,,IQG11,اربيل,Erbil,,,2,,37.088,44.094,
IQG11Q02,2,قضاء,District,اربيل,Erbil,erbil-iqg11q02,IQG11Q02,,IQG11,اربيل,Erbil,,,2,,36.091,43.994,
IQG11Q03,2,قضاء,District,كويسنجق,Koysinjaq,koysinjaq-iqg11q03,IQG11Q03,,IQG11,اربيل,Erbil,,,3,,36.036,44.526,
IQG11Q04,2,قضاء,District,مخمور,Makhmour,makhmour-iqg11q04,IQG11Q04,,IQG11,اربيل,Erbil,,,4,,35.823,43.652,
IQG11Q05,2,قضاء,District,راوندوز,Rawanduz,rawanduz-iqg11q05,IQG11Q05,,IQG11,اربيل,Erbil,,,7,,36.807,44.535,
IQG11Q06,2,قضاء,District,شقلاوة,Shaqlawa,shaqlawa-iqg11q06,IQG11Q06,,IQG11,اربيل,Erbil,,,3,,36.448,44.152,
IQG12,1,محافظة,Governorate,كربلاء,Kerbala,kerbala-iqg12,IQG12,,,,,,3,5,,32.498,43.8,https://openadmindata.org/iq/governorates/kerbala-iqg12/
IQG12Q01,2,قضاء,District,عين التمر,Ain Al-Tamur,ain-al-tamur-iqg12q01,IQG12Q01,,IQG12,كربلاء,Kerbala,,,1,,32.483,43.533,
IQG12Q02,2,قضاء,District,الهندية,Al-Hindiya,al-hindiya-iqg12q02,IQG12Q02,,IQG12,كربلاء,Kerbala,,,2,,32.465,44.207,
IQG12Q03,2,قضاء,District,كربلاء,Kerbela,kerbela-iqg12q03,IQG12Q03,,IQG12,كربلاء,Kerbala,,,2,,32.497,43.906,
IQG13,1,محافظة,Governorate,كركوك,Kirkuk,kirkuk-iqg13,IQG13,,,,,,4,16,,35.288,44.061,https://openadmindata.org/iq/governorates/kirkuk-iqg13/
IQG13Q01,2,قضاء,District,الحويجة,Al-Hawiga,al-hawiga-iqg13q01,IQG13Q01,,IQG13,كركوك,Kirkuk,,,4,,35.264,43.788,
IQG13Q02,2,قضاء,District,داقوق,Daquq,daquq-iqg13q02,IQG13Q02,,IQG13,كركوك,Kirkuk,,,2,,34.995,44.171,
IQG13Q03,2,قضاء,District,دبس,Dibis,dibis-iqg13q03,IQG13Q03,,IQG13,كركوك,Kirkuk,,,3,,35.66,44.131,
IQG13Q04,2,قضاء,District,كركوك,Kirkuk,kirkuk-iqg13q04,IQG13Q04,,IQG13,كركوك,Kirkuk,,,7,,35.516,44.529,
IQG14,1,محافظة,Governorate,ميسان,Maysan,maysan-iqg14,IQG14,,,,,,6,12,,32,47.134,https://openadmindata.org/iq/governorates/maysan-iqg14/
IQG14Q01,2,قضاء,District,العمارة,Al-Amara,al-amara-iqg14q01,IQG14Q01,,IQG14,ميسان,Maysan,,,2,,32.107,47.272,
IQG14Q02,2,قضاء,District,علي الغربي,Ali Al-Gharbi,ali-al-gharbi-iqg14q02,IQG14Q02,,IQG14,ميسان,Maysan,,,2,,32.419,46.765,
IQG14Q03,2,قضاء,District,الكحلاء,Al-Kahla,al-kahla-iqg14q03,IQG14Q03,,IQG14,ميسان,Maysan,,,3,,31.764,47.43,
IQG14Q04,2,قضاء,District,الميمونة,Al-Maimouna,al-maimouna-iqg14q04,IQG14Q04,,IQG14,ميسان,Maysan,,,2,,31.472,46.812,
IQG14Q05,2,قضاء,District,المجر الكبير,Al-Mejar Al-Kabir,al-mejar-al-kabir-iqg14q05,IQG14Q05,,IQG14,ميسان,Maysan,,,2,,31.432,47.579,
IQG14Q06,2,قضاء,District,قلعة صالح,Qalat Saleh,qalat-saleh-iqg14q06,IQG14Q06,,IQG14,ميسان,Maysan,,,1,,31.479,47.383,
IQG15,1,محافظة,Governorate,نينوى,Ninewa,ninewa-iqg15,IQG15,,,,,,9,28,,35.994,42.362,https://openadmindata.org/iq/governorates/ninewa-iqg15/
IQG15Q01,2,قضاء,District,عقرة,Aqra,aqra-iqg15q01,IQG15Q01,,IQG15,نينوى,Ninewa,,,5,,36.667,43.946,
IQG15Q02,2,قضاء,District,البعاج,Al-Baaj,al-baaj-iqg15q02,IQG15Q02,,IQG15,نينوى,Ninewa,,,2,,35.693,41.7,
IQG15Q03,2,قضاء,District,الحمدانية,Al-Hamdaniya,al-hamdaniya-iqg15q03,IQG15Q03,,IQG15,نينوى,Ninewa,,,3,,36.191,43.409,
IQG15Q04,2,قضاء,District,الحضر,Al-Hatra,al-hatra-iqg15q04,IQG15Q04,,IQG15,نينوى,Ninewa,,,1,,35.589,42.505,
IQG15Q05,2,قضاء,District,الموصل,Al-Mosul,al-mosul-iqg15q05,IQG15Q05,,IQG15,نينوى,Ninewa,,,4,,36.102,42.951,
IQG15Q06,2,قضاء,District,الشيخان,Al-Shikhan,al-shikhan-iqg15q06,IQG15Q06,,IQG15,نينوى,Ninewa,,,3,,36.699,43.415,
IQG15Q07,2,قضاء,District,سنجار,Sinjar,sinjar-iqg15q07,IQG15Q07,,IQG15,نينوى,Ninewa,,,3,,36.336,42.014,
IQG15Q08,2,قضاء,District,تلعفر,Telafar,telafar-iqg15q08,IQG15Q08,,IQG15,نينوى,Ninewa,,,4,,36.525,42.348,
IQG15Q09,2,قضاء,District,تلكيف,Tilkaef,tilkaef-iqg15q09,IQG15Q09,,IQG15,نينوى,Ninewa,,,3,,36.574,42.992,
IQG16,1,محافظة,Governorate,صلاح الدين,Salah Al-Din,salah-al-din-iqg16,IQG16,,,,,,7,19,,34.66,43.634,https://openadmindata.org/iq/governorates/salah-al-din-iqg16/
IQG16Q01,2,قضاء,District,الدور,Al-Daur,al-daur-iqg16q01,IQG16Q01,,IQG16,صلاح الدين,Salah Al-Din,,,2,,34.56,44.208,
IQG16Q02,2,قضاء,District,الشرقاط,Al-Shirqat,al-shirqat-iqg16q02,IQG16Q02,,IQG16,صلاح الدين,Salah Al-Din,,,1,,35.474,43.176,
IQG16Q03,2,قضاء,District,بيجي,Beygee,beygee-iqg16q03,IQG16Q03,,IQG16,صلاح الدين,Salah Al-Din,,,3,,34.887,43.037,
IQG16Q04,2,قضاء,District,بلد,Balad,balad-iqg16q04,IQG16Q04,,IQG16,صلاح الدين,Salah Al-Din,,,4,,33.936,43.84,
IQG16Q05,2,قضاء,District,سامراء,Samarra,samarra-iqg16q05,IQG16Q05,,IQG16,صلاح الدين,Salah Al-Din,,,4,,34.333,43.377,
IQG16Q06,2,قضاء,District,تكريت,Tikrit,tikrit-iqg16q06,IQG16Q06,,IQG16,صلاح الدين,Salah Al-Din,,,2,,34.763,43.855,
IQG16Q07,2,قضاء,District,طوز خورماتو,Tooz Khurmato,tooz-khurmato-iqg16q07,IQG16Q07,,IQG16,صلاح الدين,Salah Al-Din,,,3,,34.825,44.659,
IQG17,1,محافظة,Governorate,ذي قار,Thi Qar,thi-qar-iqg17,IQG17,,,,,,5,18,,31.29,46.274,https://openadmindata.org/iq/governorates/thi-qar-iqg17/
IQG17Q01,2,قضاء,District,الجبايش,Al-Chibayish,al-chibayish-iqg17q01,IQG17Q01,,IQG17,ذي قار,Thi Qar,,,3,,30.858,46.905,
IQG17Q02,2,قضاء,District,الرفاعي,Al-Rifai,al-rifai-iqg17q02,IQG17Q02,,IQG17,ذي قار,Thi Qar,,,4,,31.671,46.125,
IQG17Q03,2,قضاء,District,الشطرة,Al-Shatra,al-shatra-iqg17q03,IQG17Q03,,IQG17,ذي قار,Thi Qar,,,3,,31.41,46.315,
IQG17Q04,2,قضاء,District,الناصرية,Al-Nasiriya,al-nasiriya-iqg17q04,IQG17Q04,,IQG17,ذي قار,Thi Qar,,,4,,31.122,46.491,
IQG17Q05,2,قضاء,District,سوق الشيوخ,Suq Al-Shoyokh,suq-al-shoyokh-iqg17q05,IQG17Q05,,IQG17,ذي قار,Thi Qar,,,4,,30.812,46.458,
IQG18,1,محافظة,Governorate,واسط,Wassit,wassit-iqg18,IQG18,,,,,,5,14,,32.712,45.702,https://openadmindata.org/iq/governorates/wassit-iqg18/
IQG18Q01,2,قضاء,District,الحي,Al-Hai,al-hai-iqg18q01,IQG18Q01,,IQG18,واسط,Wassit,,,2,,32.181,46.024,
IQG18Q02,2,قضاء,District,الكوت,Al-Kut,al-kut-iqg18q02,IQG18Q02,,IQG18,واسط,Wassit,,,3,,32.467,46.132,
IQG18Q03,2,قضاء,District,النعمانية,Al-Namaniya,al-namaniya-iqg18q03,IQG18Q03,,IQG18,واسط,Wassit,,,2,,32.447,45.511,
IQG18Q04,2,قضاء,District,الصويرة,Al-Suwaira,al-suwaira-iqg18q04,IQG18Q04,,IQG18,واسط,Wassit,,,5,,32.841,45.047,
IQG18Q05,2,قضاء,District,بدرة,Badra,badra-iqg18q05,IQG18Q05,,IQG18,واسط,Wassit,,,2,,33.068,45.852,
