# Data from Open Admin Data (https://openadmindata.org/iq/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/iraq-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.governorate,children_count.district,children_count.subdistrict,zip_codes,geo.lat,geo.lon,source_url
IQG01,1,محافظة,Governorate,الانبار,Al-Anbar,al-anbar-iqg01,IQG01,,,,,,7,20,,33.178,41.398,https://openadmindata.org/iq/governorates/al-anbar-iqg01/
IQG01Q01,2,قضاء,District,الفلوجة,Al-Falluja,al-falluja-iqg01q01,IQG01Q01,,IQG01,الانبار,Al-Anbar,,,3,,33.19,43.685,
IQG01Q02,2,قضاء,District,القائم,Al-Kaim,al-kaim-iqg01q02,IQG01Q02,,IQG01,الانبار,Al-Anbar,,,3,,34.435,41.207,
IQG01Q03,2,قضاء,District,الرمادي,Al-Ramadi,al-ramadi-iqg01q03,IQG01Q03,,IQG01,الانبار,Al-Anbar,,,3,,33.237,42.987,
IQG01Q04,2,قضاء,District,الرطبة,Al-Rutba,al-rutba-iqg01q04,IQG01Q04,,IQG01,الانبار,Al-Anbar,,,3,,32.559,41.158,
IQG01Q05,2,قضاء,District,عنه,Ana,ana-iqg01q05,IQG01Q05,,IQG01,الانبار,Al-Anbar,,,2,,34.323,41.922,
IQG01Q06,2,قضاء,District,حديثة,Haditha,haditha-iqg01q06,IQG01Q06,,IQG01,الانبار,Al-Anbar,,,2,,34.237,42.408,
IQG01Q07,2,قضاء,District,هيت,Heet,heet-iqg01q07,IQG01Q07,,IQG01,الانبار,Al-Anbar,,,4,,33.822,42.678,
IQG02,1,محافظة,Governorate,البصرة,Al-Basrah,al-basrah-iqg02,IQG02,,,,,,7,18,,30.208,47.502,https://openadmindata.org/iq/governorates/al-basrah-iqg02/
IQG02Q01,2,قضاء,District,ابي الخصيب,Abu Al-Khaseeb,abu-al-khaseeb-iqg02q01,IQG02Q01,,IQG02,البصرة,Al-Basrah,,,2,,30.336,47.993,
IQG02Q02,2,قضاء,District,البصرة,Al-Basrah,al-basrah-iqg02q02,IQG02Q02,,IQG02,البصرة,Al-Basrah,,,2,,30.555,47.606,
IQG02Q03,2,قضاء,District,الفاو,Al-Faw,al-faw-iqg02q03,IQG02Q03,,IQG02,البصرة,Al-Basrah,,,2,,30.046,48.202,
IQG02Q04,2,قضاء,District,المدينة,Al-Midaina,al-midaina-iqg02q04,IQG02Q04,,IQG02,البصرة,Al-Basrah,,,3,,30.982,47.246,
IQG02Q05,2,قضاء,District,القرنة,Al-Qurna,al-qurna-iqg02q05,IQG02Q05,,IQG02,البصرة,Al-Basrah,,,3,,30.943,47.442,
IQG02Q06,2,قضاء,District,الزبير,Al-Zubair,al-zubair-iqg02q06,IQG02Q06,,IQG02,البصرة,Al-Basrah,,,3,,29.902,46.865,
IQG02Q07,2,قضاء,District,شط العرب,Shat Al-Arab,shat-al-arab-iqg02q07,IQG02Q07,,IQG02,البصرة,Al-Basrah,,,3,,30.723,47.892,
