id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
IQG06Q01,السليمانية,Al-Sulaymaniyah,al-sulaymaniyah-iqg06q01,IQG06Q01,3,35.442,45.421
IQG06Q02,جمجمال,Chamchamal,chamchamal-iqg06q02,IQG06Q02,4,35.415,45.001
IQG06Q03,دربندخان,Derbendikhan,derbendikhan-iqg06q03,IQG06Q03,1,35.186,45.713
IQG06Q04,دوكان,Dokan,dokan-iqg06q04,IQG06Q04,2,35.92,45.036
IQG06Q05,حلبجة,Halabcha,halabcha-iqg06q05,IQG06Q05,4,35.187,46.022
IQG06Q06,كلار,Kalar,kalar-iqg06q06,IQG06Q06,3,34.84,45.327
IQG06Q07,بنجوين,Panjwin,panjwin-iqg06q07,IQG06Q07,2,35.648,45.931
IQG06Q08,بشدر,Pshdar,pshdar-iqg06q08,IQG06Q08,3,36.265,45.102
IQG06Q09,رانية,Rania,rania-iqg06q09,IQG06Q09,3,36.167,44.917
IQG06Q10,شهربازار,Sharbazher,sharbazher-iqg06q10,IQG06Q10,4,35.703,45.628
