id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
IQG08Q01,الاعظمية,Al-Adhamiya,al-adhamiya-iqg08q01,IQG08Q01,3,33.479,44.354
IQG08Q02,الكاظمية,Al-Kadhmiyah,al-kadhmiyah-iqg08q02,IQG08Q02,5,33.464,44.192
IQG08Q03,الكرخ,Al-Karkh,al-karkh-iqg08q03,IQG08Q03,3,33.179,44.471
IQG08Q04,المدائن,Al-Mada'in,al-madain-iqg08q04,IQG08Q04,3,33.219,44.686
IQG08Q05,المحمودية,Al-Mahmoudiya,al-mahmoudiya-iqg08q05,IQG08Q05,4,33.035,44.343
IQG08Q06,الرصافة,Al-Risafa,al-risafa-iqg08q06,IQG08Q06,2,33.325,44.465
IQG08Q07,الثورة,Al-Thawra,al-thawra-iqg08q07,IQG08Q07,1,33.388,44.465
